"GEO_ID","NAME","PCT016001","PCT016002","PCT016003","PCT016004","PCT016005","PCT016006","PCT016007","PCT016008","PCT016009","PCT016010","PCT016011","PCT016012","PCT016013","PCT016014","PCT016015","PCT016016","PCT016017","PCT016018","PCT016019","PCT016020","PCT016021","PCT016022","PCT016023","PCT016024","PCT016025","PCT016026"
"id","Geographic Area Name","Total","Total!!Family households","Total!!Family households!!Husband-wife family","Total!!Family households!!Husband-wife family!!With no children under 18 years","Total!!Family households!!Husband-wife family!!With one child under 18 years","Total!!Family households!!Husband-wife family!!With two children under 18 years","Total!!Family households!!Husband-wife family!!With three children under 18 years","Total!!Family households!!Husband-wife family!!With four or more children under 18 years","Total!!Family households!!Male householder, no wife present","Total!!Family households!!Male householder, no wife present!!With no children under 18 years","Total!!Family households!!Male householder, no wife present!!With one child under 18 years","Total!!Family households!!Male householder, no wife present!!With two children under 18 years","Total!!Family households!!Male householder, no wife present!!With three children under 18 years","Total!!Family households!!Male householder, no wife present!!With four or more children under 18 years","Total!!Family households!!Female householder, no husband present","Total!!Family households!!Female householder, no husband present!!With no children under 18 years","Total!!Family households!!Female householder, no husband present!!With one child under 18 years","Total!!Family households!!Female householder, no husband present!!With two children under 18 years","Total!!Family households!!Female householder, no husband present!!With three children under 18 years","Total!!Family households!!Female householder, no husband present!!With four or more children under 18 years","Total!!Nonfamily households","Total!!Nonfamily households!!With no children under 18 years","Total!!Nonfamily households!!With one child under 18 years","Total!!Nonfamily households!!With two children under 18 years","Total!!Nonfamily households!!With three children under 18 years","Total!!Nonfamily households!!With four or more children under 18 years"
"1400000US53061052105","Census Tract 521.05, Snohomish County, Washington","706","538","457","285","71","59","25","17","41","23","10","5","2","1","40","15","18","6","1","0","168","167","0","0","1","0"
"1400000US53053060700","Census Tract 607, Pierce County, Washington","2297","1149","845","496","154","136","45","14","104","52","31","13","7","1","200","81","69","39","9","2","1148","1142","3","3","0","0"
"1400000US53027000300","Census Tract 3, Grays Harbor County, Washington","1319","941","764","499","130","80","34","21","78","38","29","8","2","1","99","29","40","22","4","4","378","374","2","0","0","2"
"1400000US53033020401","Census Tract 204.01, King County, Washington","1408","816","614","340","128","117","24","5","63","29","23","9","1","1","139","64","53","16","2","4","592","582","7","2","1","0"
"1400000US53033020402","Census Tract 204.02, King County, Washington","2157","1395","1073","595","209","188","61","20","90","47","33","9","0","1","232","80","90","43","12","7","762","758","3","1","0","0"
"1400000US53067011720","Census Tract 117.20, Thurston County, Washington","1688","1291","1032","560","178","209","63","22","91","27","39","19","4","2","168","48","64","44","9","3","397","389","5","3","0","0"
"1400000US53011040711","Census Tract 407.11, Clark County, Washington","1005","782","531","216","111","130","43","31","70","19","25","16","5","5","181","35","61","56","19","10","223","218","4","1","0","0"
"1400000US53031950602","Census Tract 9506.02, Jefferson County, Washington","1360","816","618","423","76","75","35","9","43","15","17","7","2","2","155","46","61","34","9","5","544","540","3","0","1","0"
"1400000US53063000900","Census Tract 9, Spokane County, Washington","2413","1602","1098","647","191","172","62","26","114","41","37","19","15","2","390","143","117","99","22","9","811","798","10","2","1","0"
"1400000US53053062900","Census Tract 629, Pierce County, Washington","2984","1696","975","485","221","170","60","39","190","84","51","30","18","7","531","155","166","131","57","22","1288","1265","17","3","1","2"
"1400000US53061053506","Census Tract 535.06, Snohomish County, Washington","1947","1463","1203","748","188","172","54","41","126","43","44","28","7","4","134","49","41","24","16","4","484","477","6","0","1","0"
"1400000US53009001700","Census Tract 17, Clallam County, Washington","2176","1463","1245","997","112","87","28","21","72","38","20","11","3","0","146","66","42","28","7","3","713","707","4","1","1","0"
"1400000US53033030005","Census Tract 300.05, King County, Washington","1776","1294","842","365","144","186","92","55","150","57","44","26","11","12","302","94","92","61","35","20","482","475","6","1","0","0"
"1400000US53035090502","Census Tract 905.02, Kitsap County, Washington","1742","1230","1001","529","161","211","62","38","56","12","17","18","8","1","173","48","65","36","16","8","512","508","2","2","0","0"
"1400000US53061050500","Census Tract 505, Snohomish County, Washington","3558","1802","1532","1168","166","153","39","6","60","24","22","11","2","1","210","114","67","22","6","1","1756","1750","5","1","0","0"
"1400000US53061050900","Census Tract 509, Snohomish County, Washington","1472","787","511","303","97","77","26","8","78","39","28","9","2","0","198","84","77","27","9","1","685","679","5","0","1","0"
"1400000US53053071306","Census Tract 713.06, Pierce County, Washington","2228","1660","1278","744","186","216","95","37","124","57","42","16","9","0","258","89","66","58","33","12","568","555","9","4","0","0"
"1400000US53033026802","Census Tract 268.02, King County, Washington","1615","1151","770","383","135","159","63","30","116","54","29","16","9","8","265","89","68","63","27","18","464","456","5","3","0","0"
"1400000US53075000200","Census Tract 2, Whitman County, Washington","2837","1477","1209","644","212","238","75","40","75","29","33","12","0","1","193","64","67","45","13","4","1360","1353","5","2","0","0"
"1400000US53061051915","Census Tract 519.15, Snohomish County, Washington","2348","1813","1492","688","332","341","92","39","108","36","38","23","10","1","213","73","77","48","11","4","535","526","6","2","1","0"
"1400000US53049950400","Census Tract 9504, Pacific County, Washington","1618","1091","916","626","93","115","66","16","65","18","29","9","8","1","110","43","37","15","10","5","527","524","1","2","0","0"
"1400000US53033002200","Census Tract 22, King County, Washington","2131","1514","1316","758","229","257","65","7","63","27","25","10","0","1","135","60","46","21","8","0","617","615","2","0","0","0"
"1400000US53035090700","Census Tract 907, Kitsap County, Washington","1943","1510","1341","738","207","281","92","23","50","17","16","14","3","0","119","41","48","18","8","4","433","432","1","0","0","0"
"1400000US53033032328","Census Tract 323.28, King County, Washington","1080","923","822","404","141","189","73","15","38","21","9","3","2","3","63","24","16","16","4","3","157","156","0","1","0","0"
"1400000US53063002300","Census Tract 23, Spokane County, Washington","2030","1116","608","357","95","90","47","19","142","50","49","22","11","10","366","122","115","81","27","21","914","900","11","3","0","0"
"1400000US53061052805","Census Tract 528.05, Snohomish County, Washington","1723","1101","835","531","133","101","45","25","86","37","24","15","9","1","180","71","54","34","10","11","622","614","8","0","0","0"
"1400000US53041970700","Census Tract 9707, Lewis County, Washington","1575","998","653","329","119","121","50","34","116","35","46","22","12","1","229","68","87","43","19","12","577","568","5","3","1","0"
"1400000US53033024902","Census Tract 249.02, King County, Washington","1326","1076","941","491","169","214","56","11","40","19","14","5","1","1","95","40","32","18","3","2","250","244","6","0","0","0"
"1400000US53053071410","Census Tract 714.10, Pierce County, Washington","2008","1458","1048","513","187","215","88","45","130","52","44","20","7","7","280","84","83","59","33","21","550","536","9","3","2","0"
