"county","tract","cbsa13","cntyname","cbsaname","pop10","afact"
"County code","Tract","cbsa13","County name","2013 CBSA name","Total population (2010)","tract to cbsa13 allocation factor"
"53025","0109.02","34180","Grant WA","Moses Lake, WA (Micro)",9912,1 
"53025","0110.00","34180","Grant WA","Moses Lake, WA (Micro)",11087,1 
"53025","0111.00","34180","Grant WA","Moses Lake, WA (Micro)",7029,1 
"53025","0112.00","34180","Grant WA","Moses Lake, WA (Micro)",4965,1 
"53025","0113.00","34180","Grant WA","Moses Lake, WA (Micro)",3938,1 
"53025","0114.01","34180","Grant WA","Moses Lake, WA (Micro)",1845,1 
"53025","0114.02","34180","Grant WA","Moses Lake, WA (Micro)",13025,1 
"53027","0002.00","10140","Grays Harbor WA","Aberdeen, WA (Micro)",7599,1 
"53027","0003.00","10140","Grays Harbor WA","Aberdeen, WA (Micro)",3334,1 
"53027","0004.00","10140","Grays Harbor WA","Aberdeen, WA (Micro)",6773,1 
"53027","0005.00","10140","Grays Harbor WA","Aberdeen, WA (Micro)",6803,1 
"53027","0006.00","10140","Grays Harbor WA","Aberdeen, WA (Micro)",3667,1 
"53027","0007.00","10140","Grays Harbor WA","Aberdeen, WA (Micro)",4538,1 
"53027","0008.00","10140","Grays Harbor WA","Aberdeen, WA (Micro)",4055,1 
"53027","0009.00","10140","Grays Harbor WA","Aberdeen, WA (Micro)",6252,1 
"53027","0010.00","10140","Grays Harbor WA","Aberdeen, WA (Micro)",3600,1 
"53027","0011.00","10140","Grays Harbor WA","Aberdeen, WA (Micro)",4284,1 
"53027","0012.00","10140","Grays Harbor WA","Aberdeen, WA (Micro)",4448,1 
"53027","0013.00","10140","Grays Harbor WA","Aberdeen, WA (Micro)",3563,1 
"53027","0014.00","10140","Grays Harbor WA","Aberdeen, WA (Micro)",2096,1 
"53027","0015.00","10140","Grays Harbor WA","Aberdeen, WA (Micro)",3906,1 
"53027","0016.00","10140","Grays Harbor WA","Aberdeen, WA (Micro)",6661,1 
"53027","9400.00","10140","Grays Harbor WA","Aberdeen, WA (Micro)",1218,1 
"53029","9701.00","36020","Island WA","Oak Harbor, WA (Micro)",2604,1 
"53029","9702.00","36020","Island WA","Oak Harbor, WA (Micro)",1633,1 
"53029","9703.00","36020","Island WA","Oak Harbor, WA (Micro)",4989,1 
"53029","9704.00","36020","Island WA","Oak Harbor, WA (Micro)",6131,1 
"53029","9705.00","36020","Island WA","Oak Harbor, WA (Micro)",5494,1 
"53029","9706.01","36020","Island WA","Oak Harbor, WA (Micro)",3186,1 
"53029","9706.02","36020","Island WA","Oak Harbor, WA (Micro)",3291,1 
"53029","9707.00","36020","Island WA","Oak Harbor, WA (Micro)",1922,1 
"53029","9708.00","36020","Island WA","Oak Harbor, WA (Micro)",2706,1 
"53029","9709.00","36020","Island WA","Oak Harbor, WA (Micro)",4801,1 
"53029","9710.00","36020","Island WA","Oak Harbor, WA (Micro)",4776,1 
"53029","9711.00","36020","Island WA","Oak Harbor, WA (Micro)",3289,1 
"53029","9713.00","36020","Island WA","Oak Harbor, WA (Micro)",4393,1 
"53029","9714.00","36020","Island WA","Oak Harbor, WA (Micro)",4400,1 
"53029","9715.00","36020","Island WA","Oak Harbor, WA (Micro)",3394,1 
"53029","9716.00","36020","Island WA","Oak Harbor, WA (Micro)",3817,1 
"53029","9717.00","36020","Island WA","Oak Harbor, WA (Micro)",4050,1 
"53029","9718.00","36020","Island WA","Oak Harbor, WA (Micro)",2452,1 
"53029","9719.00","36020","Island WA","Oak Harbor, WA (Micro)",3750,1 
"53029","9720.00","36020","Island WA","Oak Harbor, WA (Micro)",3938,1 
"53029","9721.00","36020","Island WA","Oak Harbor, WA (Micro)",3490,1 
"53031","9502.02"," ","Jefferson WA"," ",1816,1 
"53031","9503.00"," ","Jefferson WA"," ",6148,1 
"53031","9504.00"," ","Jefferson WA"," ",3944,1 
"53031","9505.00"," ","Jefferson WA"," ",6514,1 
"53031","9506.01"," ","Jefferson WA"," ",6299,1 
"53031","9506.02"," ","Jefferson WA"," ",3020,1 
"53031","9507.02"," ","Jefferson WA"," ",2131,1 
"53033","0001.00","42660","King WA","Seattle-Tacoma-Bellevue, WA (Metro)",6255,1 
"53033","0002.00","42660","King WA","Seattle-Tacoma-Bellevue, WA (Metro)",7646,1 
"53033","0003.00","42660","King WA","Seattle-Tacoma-Bellevue, WA (Metro)",2603,1 
"53033","0004.01","42660","King WA","Seattle-Tacoma-Bellevue, WA (Metro)",5551,1 
"53033","0004.02","42660","King WA","Seattle-Tacoma-Bellevue, WA (Metro)",4841,1 
"53033","0005.00","42660","King WA","Seattle-Tacoma-Bellevue, WA (Metro)",3165,1 
"53033","0006.00","42660","King WA","Seattle-Tacoma-Bellevue, WA (Metro)",7626,1 
"53033","0007.00","42660","King WA","Seattle-Tacoma-Bellevue, WA (Metro)",4438,1 
"53033","0008.00","42660","King WA","Seattle-Tacoma-Bellevue, WA (Metro)",2583,1 
"53033","0009.00","42660","King WA","Seattle-Tacoma-Bellevue, WA (Metro)",2019,1 
"53033","0010.00","42660","King WA","Seattle-Tacoma-Bellevue, WA (Metro)",1941,1 
